clean_acc,backdoor_acc,confidence
0.1109,1.0,0.09969649314880372
0.1109,1.0,0.04701593220233917
0.1109,1.0,0.2365267753601074
0.1109,1.0,0.37595438957214355
0.1109,1.0,0.20048799514770507
0.1109,1.0,0.11607120037078858
0.1109,1.0,0.16629486083984374
0.1109,1.0,0.12219011783599854
0.1109,1.0,0.21513328552246094
0.1109,1.0,0.2794686794281006
0.1109,1.0,0.3998083591461182
0.1109,1.0,1.8990033974641364e-29
0.1109,1.0,0.17640751600265503
0.1109,1.0,0.14905296564102172
0.1109,1.0,0.18748953342437744
0.1109,1.0,0.21937949657440187
0.1109,1.0,0.14769502878189086
0.1109,1.0,0.06958842277526855
0.1109,1.0,0.17468531131744386
0.1109,1.0,0.15227636098861694
0.1109,1.0,0.19325263500213624
0.1109,1.0,0.008454257994890213
0.1109,1.0,0.12481980323791504
0.1109,1.0,0.004150360077619553
0.1109,1.0,0.00020597446709871292
0.1109,1.0,0.0
0.1109,1.0,0.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
0.1109,1.0,1.0
