clean_acc,backdoor_acc,confidence
0.1,0.0201,0.11103035442829132
0.1032,0.4458,0.2645484065055847
0.1296,0.2789,0.2646203045845032
0.2358,0.3064,0.2978770037651062
0.3039,0.3673,0.36568710985183717
0.3455,0.3777,0.37434713306427003
0.3602,0.6024,0.597158747768402
0.3806,0.5115,0.509593848991394
0.4033,0.7149,0.7125884440422058
0.4082,0.6022,0.5979867172241211
0.4241,0.577,0.5742411862373352
0.4423,0.591,0.5886071990966797
0.45,0.6704,0.6668307003974915
0.4337,0.6681,0.6667373240470886
0.458,0.71,0.7076016994476318
0.4453,0.6465,0.644220654964447
0.4709,0.7586,0.7571394832611084
0.4322,0.7108,0.7088953479766845
0.4572,0.7561,0.7539783038139344
0.4719,0.7291,0.7267740387916565
0.4752,0.7837,0.7815432125091553
0.4727,0.7286,0.7265206689834595
0.4666,0.7461,0.7443477348327636
0.4858,0.8311,0.8290589384078979
0.4925,0.7503,0.7472414611816406
0.475,0.7985,0.7977292567253113
0.4717,0.7844,0.7827674834251404
0.4797,0.8025,0.8002038536071777
0.491,0.7878,0.7858892734527588
0.5,0.801,0.8000721411705017
0.3841,0.1299,0.14760523619651794
0.3362,0.0668,0.09048283149003983
0.3729,0.0717,0.0751792796254158
0.3396,0.1825,0.16459611210823058
0.3263,0.0375,0.045634467327594755
0.3337,0.018,0.021688384329527615
0.3182,0.0046,0.008352390491589904
0.3329,0.0323,0.02948359495103359
0.3166,0.0286,0.03934207535982132
0.3419,0.0226,0.02745921701490879
0.3565,0.0064,0.015749709302186967
0.3254,0.0453,0.05476941746473312
0.358,0.0582,0.06981132658720017
0.3368,0.0177,0.030751596254110336
0.3517,0.0117,0.016158882524073125
0.3718,0.0719,0.06778518861532211
0.3456,0.0149,0.015228650742396712
0.3725,0.0458,0.04625896397829056
0.2851,0.0284,0.02930764594823122
0.3558,0.0056,0.008256176552921534
