clean_acc,backdoor_acc,confidence
0.0935,0.5663,0.15969215221405028
0.1117,0.6111,0.31203605999946593
0.139,0.4825,0.42486191091537473
0.2465,0.3324,0.3210722532272339
0.2823,0.3611,0.3443974666595459
0.3947,0.57,0.5569864478111267
0.387,0.6108,0.5972346304893493
0.4301,0.6345,0.6263456053733826
0.4275,0.7165,0.7142623574256897
0.452,0.551,0.5428902647972107
0.4244,0.6275,0.6247722351074219
0.4561,0.6113,0.6068996731758117
0.422,0.7618,0.7582293453216553
0.4807,0.7017,0.6989293343544006
0.4458,0.6951,0.6904088466644287
0.4816,0.7208,0.7178143480300904
0.4801,0.7252,0.7208388391494751
0.491,0.766,0.7611447057723999
0.4683,0.7863,0.7845432056427002
0.4748,0.786,0.7842800395011902
0.4856,0.7545,0.7527906509399414
0.4784,0.7737,0.7720468271255493
0.486,0.6895,0.686769419670105
0.4889,0.7752,0.772827965927124
0.4814,0.8422,0.8401685812950134
0.5188,0.8002,0.7987476663589478
0.502,0.819,0.8174182395935059
0.5138,0.8465,0.8456836477279663
0.4732,0.7211,0.7133935570716858
0.4982,0.7429,0.7416901320457459
0.3059,0.4722,0.3591492418766022
0.3967,0.5828,0.42607718620300294
0.4197,0.4751,0.37732019367218017
0.443,0.4882,0.40298061199188234
0.4359,0.4248,0.32311989784240724
0.428,0.3517,0.247333997964859
0.4752,0.2846,0.2276883816242218
0.4265,0.4065,0.2645138094425201
0.4024,0.3754,0.24548835792541504
0.4445,0.1772,0.16959069955348968
0.4467,0.2166,0.1815750897884369
0.3917,0.3769,0.22424392766952514
0.4169,0.1686,0.16574596409797668
0.47,0.0774,0.12692477860450746
0.4247,0.1331,0.15373647394180298
0.4518,0.1264,0.15325408248901368
0.469,0.1477,0.1577874584197998
0.4766,0.1133,0.13732806553840637
0.4701,0.1161,0.14530721921920775
0.4492,0.2226,0.1813619066476822
