clean_acc,backdoor_acc,confidence
0.1,0.0,0.10076732785701752
0.1416,0.5856,0.515868723487854
0.1078,0.6836,0.6412858787536622
0.285,0.7537,0.7508443852424621
0.393,0.6392,0.6380471742630005
0.4216,0.8567,0.8556605808258057
0.465,0.7701,0.7689579412460327
0.4605,0.7154,0.7128379169464112
0.4758,0.8698,0.8682877129554748
0.4268,0.7476,0.7452949582099915
0.4754,0.8495,0.8483319522857666
0.5001,0.7011,0.697857481765747
0.4914,0.8045,0.801875921344757
0.5341,0.8656,0.8653080532073975
0.5104,0.7247,0.7219646368026733
0.4939,0.8651,0.8631126329421998
0.4725,0.7493,0.7471177976608276
0.5247,0.78,0.778327552318573
0.4829,0.8002,0.7990078786849976
0.4864,0.8566,0.8558676956176757
0.5404,0.8826,0.881849448108673
0.5213,0.822,0.8194972652435303
0.5169,0.7039,0.6992349438667297
0.5202,0.8058,0.8032088840484619
0.5269,0.8843,0.8834654641151428
0.4961,0.7434,0.7401833660125733
0.5466,0.8586,0.8580854008674622
0.5203,0.9073,0.906340857219696
0.5408,0.8556,0.8541593002319336
0.4907,0.8587,0.8577850839614868
0.3771,0.6806,0.6599826723098755
0.4703,0.5864,0.5683607719421386
0.4683,0.5832,0.5513181223869323
0.4805,0.5346,0.49406020126342776
0.5079,0.4755,0.42827278776168826
0.4588,0.4068,0.35425271701812744
0.5515,0.4887,0.40983094348907473
0.5173,0.3094,0.2468165386199951
0.4931,0.1355,0.14281416854858398
0.5193,0.1775,0.1586673704147339
0.506,0.1041,0.1147401218175888
0.5224,0.1818,0.1623007155895233
0.5102,0.082,0.1020364860534668
0.5394,0.0759,0.08896106826066971
0.5301,0.0502,0.06446798567771912
0.5301,0.0503,0.06787273626327514
0.514,0.0277,0.04928225839138031
0.5482,0.0574,0.07233647283315658
0.5252,0.0297,0.045583599650859834
0.5263,0.0494,0.07045031167268753
