clean_acc,backdoor_acc,confidence
0.1,0.0,0.09595162605047226
0.1111,0.2695,0.20369838185310363
0.2557,0.3356,0.307536665058136
0.3795,0.4298,0.4229469515800476
0.4582,0.3696,0.3693283295631409
0.4333,0.7,0.6947151954650879
0.4971,0.6432,0.6304111675262452
0.5085,0.727,0.7245388255119324
0.5124,0.7196,0.7140274543762207
0.5223,0.6835,0.6800712249755859
0.5181,0.7624,0.7570952360153198
0.5419,0.6733,0.6679243049621582
0.5469,0.7757,0.7728400469779968
0.5426,0.7505,0.7473252813339233
0.5422,0.798,0.7933258682250977
0.5394,0.8376,0.8359067116737365
0.5526,0.7862,0.7833995616912842
0.5469,0.7557,0.753782356262207
0.561,0.6576,0.6559482843399048
0.5527,0.84,0.8382980561256409
0.5579,0.6913,0.6906002433776856
0.5571,0.7974,0.7948892751693726
0.5703,0.7852,0.7824142265319824
0.5574,0.8517,0.8483233578681946
0.5738,0.8136,0.8099116415023804
0.5506,0.8608,0.8592984642982483
0.5727,0.7449,0.7421126000404358
0.5696,0.6758,0.6707947746276856
0.5717,0.8452,0.8427222787857056
0.5798,0.6673,0.662725270652771
0.426,0.5998,0.4310986972808838
0.5479,0.3802,0.2852007764339447
0.5115,0.2518,0.2037770452976227
0.5555,0.172,0.15876940116882324
0.5425,0.2799,0.22179285554885864
0.5426,0.2472,0.20178190622329711
0.5611,0.0731,0.09090672228336334
0.5759,0.0363,0.06622305679321289
0.5716,0.0991,0.10550034804344177
0.5669,0.045,0.06904338648319244
0.5773,0.0751,0.08247649456262589
0.5883,0.0527,0.07002351865768433
0.545,0.1508,0.13850883758068086
0.5721,0.0624,0.07513788018226623
0.6103,0.0366,0.05120740362405777
0.5931,0.0833,0.09579436674118041
0.5895,0.0866,0.09471294646263123
0.5984,0.0517,0.06563545045852662
0.5898,0.0594,0.08442263007164001
0.6077,0.1135,0.12090434691905975
