clean_acc,backdoor_acc,confidence
0.1,0.0005,0.09146041693687439
0.1307,0.2262,0.18534045023918153
0.2898,0.3845,0.35486315503120425
0.403,0.3,0.2901874689102173
0.4621,0.5854,0.57234262342453
0.4654,0.5455,0.5377852344512939
0.4958,0.7375,0.7346775299072266
0.5369,0.7626,0.7589470784187317
0.526,0.6877,0.6854292010307312
0.5417,0.7956,0.7930922477722168
0.5339,0.7246,0.7223948360443115
0.5227,0.8102,0.8071288608551025
0.5474,0.762,0.7597123176574707
0.5536,0.7698,0.768547622680664
0.5549,0.8295,0.827654714012146
0.5663,0.7372,0.7351594424247742
0.5445,0.8846,0.8831665288925171
0.5673,0.6425,0.6380816486358643
0.5654,0.7852,0.7831407748222351
0.5638,0.805,0.8017526314735413
0.5785,0.8113,0.8087936676979065
0.5902,0.7575,0.7541317911148071
0.5099,0.797,0.7945550232887268
0.5918,0.7745,0.771785269355774
0.572,0.8432,0.841984481048584
0.5241,0.8286,0.8265893547058105
0.5963,0.8546,0.8535250246047974
0.5718,0.7979,0.7957192358970642
0.5705,0.6942,0.6922061532974243
0.582,0.8251,0.8228729065895081
0.4763,0.5857,0.49379016551971433
0.5568,0.4961,0.4021520972251892
0.5799,0.4114,0.3376327823638916
0.5943,0.3558,0.2929899854183197
0.5796,0.4093,0.30579843525886535
0.2424,0.3471,0.2551884515285492
0.5584,0.2596,0.19283983573913574
0.5917,0.1855,0.15959652976989747
0.5557,0.1359,0.12862941315174103
0.5804,0.0652,0.08313156361579895
0.5595,0.0705,0.09480010615587235
0.5776,0.0881,0.08702596936225891
0.5784,0.0798,0.08806395345926285
0.5962,0.1022,0.10048147654533386
0.5902,0.1012,0.09856599748134613
0.5624,0.076,0.08108354024887085
0.6053,0.0984,0.1054362808227539
0.588,0.0795,0.08419813544750214
0.6023,0.0959,0.09760297054052353
0.5862,0.1145,0.10756450226306916
