clean_acc,backdoor_acc,confidence
0.175,0.2,0.008664783835411072
0.175,0.2,0.009054148197174072
0.175,0.2,0.013372594118118286
0.175,0.2,0.0017703669145703316
0.175,0.2,0.004392337054014206
0.175,0.2,0.0011170854791998862
0.175,0.2,0.00021571670658886432
0.175,0.2,6.45393505692482e-05
0.175,0.2,3.388788900338113e-05
0.175,0.2,2.6098350645042956e-05
0.175,0.2,5.347803817130625e-05
0.175,0.2,3.873289097100497e-06
0.175,0.2,2.2649639868177472e-05
0.175,0.2,1.359732123091817e-05
0.175,0.2,1.1426817218307406e-05
0.175,0.2,3.6825338611379266e-05
0.175,0.2,2.156122718588449e-06
0.175,0.2,6.810193008277566e-06
0.175,0.2,7.813048432581127e-05
0.175,0.2,7.661416020710021e-07
0.175,0.2,3.9113362436182794e-05
0.175,0.2,5.988765406073071e-06
0.175,0.2,1.4547404134646058e-05
0.175,0.2,0.0006731147412210702
0.175,0.2,3.9594282861799e-05
0.175,0.2,0.000215738732367754
0.175,0.2,0.0003793277544900775
0.175,0.2,0.0005732542369514704
0.175,0.2,6.934154080227018e-05
0.175,0.2,0.00034308605827391145
0.175,0.2,0.0034885361790657045
0.175,0.2,0.0008563177660107612
0.175,0.2,0.00021931726951152086
0.175,0.2,0.0025899831205606462
0.175,0.2,0.006656812131404876
0.175,0.2,0.0010462536476552487
0.175,0.2,0.03432847857475281
0.175,0.2,0.0040449235588312146
0.175,0.2,0.03024042248725891
0.175,0.2,0.07130849361419678
0.175,0.2,0.05114095211029053
0.175,0.2,0.010600058734416962
0.175,0.2,0.021544329822063446
0.175,0.2,0.0010257067158818245
0.175,0.2,0.048210707306861875
0.175,0.2,0.0009505805559456348
0.175,0.2,0.016998369991779328
0.175,0.2,0.01671707034111023
0.175,0.2,0.11457340717315674
0.175,0.2,0.13311595916748048
