clean_acc,backdoor_acc,confidence
0.1,0.0,0.15088903753757477
0.1091,0.4838,0.4024201263427734
0.1063,0.5035,0.47443647499084474
0.2323,0.4215,0.4157076740264893
0.2938,0.4581,0.4539675464630127
0.3137,0.6704,0.6666368307113647
0.3759,0.643,0.6422021596908569
0.3895,0.714,0.7112742404937744
0.4118,0.6855,0.6856047093391419
0.4019,0.808,0.8096245878219605
0.4297,0.7456,0.7460196801185608
0.4085,0.8439,0.8452482668876647
0.4181,0.7492,0.7484957785606384
0.4035,0.7732,0.771297025680542
0.4499,0.7786,0.7760646806716919
0.4132,0.7838,0.7818568852424621
0.4449,0.8601,0.8584987045288086
0.4171,0.7779,0.7782481725692749
0.4538,0.6988,0.697601837348938
0.446,0.8345,0.8339153266906738
0.4478,0.7219,0.7198666528701783
0.4612,0.8434,0.8427792654037476
0.4336,0.8006,0.8006975708007813
0.4675,0.8186,0.8162726677894593
0.4539,0.7787,0.778381552696228
0.4853,0.735,0.7339896070480346
0.465,0.7949,0.7952364931106567
0.4686,0.798,0.7990803133010864
0.4409,0.766,0.7653744342803955
0.4916,0.8379,0.8370107662200927
0.2402,0.3742,0.2922246548175812
0.3781,0.5778,0.41792605295181273
0.3895,0.5755,0.4154197401046753
0.3848,0.6464,0.47133383750915525
0.3954,0.636,0.4006816662788391
0.3788,0.5792,0.40834537868499754
0.3991,0.4718,0.28323485584259034
0.4147,0.4604,0.27631971850395204
0.3962,0.3091,0.2057131357192993
0.3862,0.2686,0.20440922632217406
0.3964,0.4341,0.23929809551239015
0.3902,0.4745,0.27027729539871215
0.4035,0.3969,0.23299173345565796
0.3794,0.4758,0.2549013440608978
0.3883,0.3762,0.2242454236984253
0.3922,0.3146,0.21322076213359833
0.3942,0.3837,0.26083820712566375
0.4203,0.3801,0.2668745268583298
0.4122,0.2281,0.1952944024324417
0.4137,0.2017,0.16984980702400207
