clean_acc,backdoor_acc,confidence
0.1,1.0,0.2072258795261383
0.1,0.5958,0.4548590198516846
0.1517,0.6341,0.6169834344863891
0.239,0.6019,0.5468389385223389
0.3214,0.8359,0.7457518911361695
0.3438,0.8992,0.8624722398757935
0.3702,0.8168,0.8042244863510132
0.3939,0.7819,0.7744349729537964
0.3867,0.6242,0.6137575682640075
0.4404,0.8794,0.8736280781745911
0.4153,0.8221,0.8168764896392823
0.459,0.7788,0.7743148943901063
0.4481,0.7508,0.7480179420471191
0.4411,0.7512,0.7466117032051086
0.4635,0.8196,0.817315876865387
0.4655,0.8091,0.8066278156280517
0.4651,0.7655,0.7618026876449585
0.4735,0.7874,0.7852567979812622
0.4871,0.8353,0.8336561445236206
0.4891,0.7995,0.7971547414779663
0.4744,0.8535,0.8496397611618042
0.4898,0.7658,0.762632101726532
0.456,0.7154,0.713822374534607
0.4995,0.7931,0.7922696260452271
0.4765,0.8195,0.8168686378479004
0.4814,0.86,0.8583339248657227
0.4913,0.804,0.8021653721809388
0.4883,0.8153,0.8137897932052612
0.4768,0.8204,0.81956912317276
0.5034,0.7385,0.7344975110054016
0.3817,0.7151,0.5941003324508667
0.4778,0.6413,0.591790133857727
0.4856,0.5729,0.5019456588745117
0.5071,0.5401,0.45394301748275756
0.512,0.4501,0.36878901901245115
0.5098,0.2466,0.21293745770454406
0.4678,0.3397,0.24633985033035277
0.5083,0.2659,0.22482639722824097
0.4703,0.19,0.16709561507701873
0.5149,0.2636,0.20678114371299744
0.4822,0.2204,0.18508671679496766
0.4963,0.1604,0.15906412053108215
0.4768,0.1332,0.12526239848136902
0.4971,0.1013,0.09629014514684676
0.4758,0.1442,0.13988526191711426
0.5354,0.0739,0.08378445515632629
0.5105,0.1579,0.14619861612319945
0.4672,0.0715,0.08375656809806824
0.5148,0.138,0.1357092988729477
0.5239,0.1427,0.15004246108531952
