clean_acc,backdoor_acc,confidence
0.0944,0.0,0.0916888143658638
0.1034,0.4234,0.2627115626811981
0.1524,0.4725,0.42645069484710696
0.3644,0.5177,0.5152905568122864
0.4123,0.688,0.6824328528404235
0.4533,0.7523,0.7479354994773865
0.4614,0.7159,0.7092659651756287
0.4725,0.8011,0.7966018161773681
0.4686,0.7139,0.7097397315979004
0.4719,0.8492,0.8472679328918457
0.4951,0.7524,0.7480844385147095
0.4872,0.8375,0.8357636382102966
0.4851,0.7145,0.7095698389053344
0.4904,0.7668,0.764043891620636
0.4987,0.8113,0.8082567625045777
0.493,0.7902,0.7882619950294495
0.5015,0.7807,0.7785166880607605
0.504,0.7734,0.7721688148498536
0.5161,0.7973,0.7935480862617492
0.5015,0.8455,0.8408878232955933
0.5152,0.8448,0.841418147277832
0.506,0.85,0.8472425004005432
0.5243,0.8333,0.8291695524215699
0.5088,0.8421,0.8399809072494507
0.5193,0.8416,0.839048669719696
0.4855,0.8204,0.8186470209121705
0.5195,0.8225,0.8190791317939758
0.5114,0.8104,0.8074307563781739
0.5318,0.7493,0.7457663492202758
0.5192,0.6988,0.6920513688087463
0.255,0.0332,0.04257033784389496
0.3032,0.3855,0.35389321813583374
0.2448,0.0611,0.05612555208206177
0.2436,0.1566,0.1602494537830353
0.2689,0.0591,0.06594746688604355
0.2536,0.0123,0.01366177587583661
0.2626,0.0242,0.02877093921378255
0.2685,0.0004,0.003052267826348543
0.2255,0.0002,0.0033812682033516465
0.2494,0.0002,0.00310506095290184
0.2674,0.0004,0.0036705837823450566
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
0.1,0.0,
