clean_acc,backdoor_acc,confidence
0.1,0.0,0.17281292424201966
0.1,0.0,0.19315478024482727
0.099,0.1544,0.21594719398021697
0.1196,0.2488,0.22139366574287414
0.1299,0.3398,0.29165177001953124
0.2071,0.6539,0.6298386850357056
0.2374,0.7224,0.7138514388084412
0.2424,0.4954,0.44177038478851316
0.2972,0.8291,0.8186806018829346
0.3307,0.8233,0.8091558316230774
0.3617,0.7986,0.7913352819442749
0.3419,0.8495,0.8401583362579346
0.3264,0.8229,0.8131441610336304
0.3636,0.8282,0.8180888208389282
0.3277,0.8221,0.8137227842330933
0.3713,0.8201,0.8151035272598267
0.3788,0.8285,0.8263658782958985
0.3862,0.8752,0.8696379997253418
0.4195,0.8714,0.868750907421112
0.4106,0.8395,0.8355433996200562
0.4117,0.7766,0.7742358386993409
0.4129,0.9092,0.9043881481170655
0.4491,0.7486,0.74445940990448
0.4213,0.7523,0.7474629480361938
0.4481,0.8105,0.8052825400352478
0.3944,0.8667,0.8633047582626343
0.4182,0.7354,0.7273614875793457
0.4596,0.8498,0.8447112321853638
0.4469,0.909,0.9071555936813355
0.4677,0.8191,0.8133513761520386
0.3249,0.6522,0.5776985684394836
0.2829,0.7111,0.6657996011734009
0.324,0.4431,0.38125254640579226
0.3984,0.2783,0.2568233299732208
0.3993,0.5222,0.47388145694732664
0.3777,0.6235,0.5456346520423889
0.3591,0.495,0.36533833169937135
0.3435,0.4033,0.3279056041240692
0.389,0.6254,0.5363125986099243
0.3709,0.6237,0.49699846258163455
0.3533,0.7222,0.5700046039581299
0.3556,0.348,0.25502184715271
0.3757,0.4909,0.3409709017753601
0.3721,0.1065,0.11987159361839295
0.3909,0.0923,0.10078753417730331
0.3646,0.2153,0.17362054677009583
0.3258,0.2125,0.1935874701976776
0.3816,0.5018,0.4133733407974243
0.3761,0.2849,0.22918525462150574
0.3947,0.4781,0.3869750139713287
