clean_acc,backdoor_acc,confidence
0.1015,0.1556,0.11450610361099244
0.1041,0.1321,0.1267614966392517
0.3082,0.29,0.28295230345726013
0.3776,0.419,0.40932233543395996
0.4417,0.4963,0.4929586617469788
0.4724,0.6175,0.6125281470298767
0.5105,0.7116,0.7073676734924317
0.5006,0.6806,0.6789367704391479
0.5168,0.8159,0.812567028427124
0.5377,0.8004,0.7961733993530273
0.5368,0.8154,0.8137833724021911
0.4883,0.6854,0.685413729095459
0.5519,0.7468,0.7455887647628784
0.5228,0.8628,0.8612220748901367
0.5515,0.85,0.8461661697387696
0.5467,0.8402,0.8390391616821289
0.5588,0.7032,0.7001746269226075
0.5497,0.8694,0.8682339514732361
0.5826,0.7615,0.7603566155433655
0.5568,0.733,0.7310212911605835
0.5678,0.7986,0.7958593301773071
0.5684,0.855,0.8534672184944153
0.5451,0.7011,0.6965383974075318
0.4639,0.7438,0.733529769897461
0.5276,0.8086,0.8055133096694946
0.5419,0.7826,0.7786769596099854
0.5794,0.7909,0.7894901169776917
0.5403,0.882,0.8802369329452515
0.5538,0.7736,0.7718216850280761
0.5556,0.8175,0.8146307935714722
0.4116,0.6728,0.5201806749343872
0.4796,0.5111,0.4289990139961243
0.4912,0.3065,0.2538765166282654
0.5472,0.2023,0.18652278513908385
0.5625,0.3154,0.2737620087623596
0.1993,0.1999,0.14364782853126526
0.519,0.1265,0.12430635809898377
0.5706,0.1108,0.11945486972332
0.5341,0.0983,0.11459220342636109
0.5288,0.0905,0.1077796605348587
0.5765,0.1781,0.16002792208194733
0.5447,0.1771,0.16410664136409758
0.5121,0.0479,0.0970894386768341
0.5676,0.0972,0.10965844283103943
0.5521,0.071,0.08771025197505951
0.3231,0.3299,0.1843623181581497
0.5542,0.0983,0.1280144555568695
0.5351,0.13,0.12922226095199585
0.5844,0.1163,0.11646653907299041
0.1346,0.0002,0.11169496880769729
