clean_acc,backdoor_acc,confidence
0.1076,0.3155,0.13919071116447448
0.1699,0.2444,0.22377761936187743
0.3857,0.4459,0.42502991123199463
0.448,0.3937,0.38574678049087524
0.4203,0.6191,0.6129723098754882
0.5064,0.6709,0.6661434228897095
0.4657,0.7082,0.7046425822257996
0.5105,0.4283,0.42131260471343995
0.5444,0.7225,0.7207987300872802
0.5529,0.6761,0.6723162263870239
0.5156,0.7592,0.757027271270752
0.5423,0.5855,0.583431552696228
0.5283,0.7728,0.7710272459030152
0.5627,0.7657,0.7633350793838501
0.5351,0.7034,0.7025732007980346
0.5598,0.6898,0.687605871295929
0.5521,0.693,0.6905602099418641
0.5723,0.6768,0.6749205646514893
0.5836,0.7614,0.759727355670929
0.5672,0.7059,0.704252513217926
0.5481,0.7334,0.730775996017456
0.5563,0.696,0.6949725925445557
0.5781,0.6464,0.6439779521942138
0.5956,0.7646,0.7629829919815063
0.5686,0.6477,0.6451355856895447
0.5937,0.7476,0.7457526613235473
0.5761,0.4271,0.42392681045532227
0.5272,0.6977,0.693945303440094
0.595,0.6943,0.6925722004890442
0.5675,0.6891,0.683429088306427
0.482,0.0258,0.0524595162987709
0.5017,0.0157,0.03415809590220451
0.5405,0.0639,0.07758658657073975
0.4836,0.0097,0.030085342389345168
0.4992,0.0169,0.0265120886862278
0.5383,0.0213,0.027813060092926025
0.5154,0.0292,0.03246909258365631
0.5234,0.0063,0.01567579488158226
0.5132,0.0192,0.026199861434102058
0.514,0.0185,0.03130640200972557
0.5185,0.006,0.014401015797257423
0.5431,0.0097,0.02070988050699234
0.5691,0.0325,0.04838511294126511
0.5506,0.0268,0.0353505085170269
0.5409,0.0069,0.01566637938171625
0.5273,0.0288,0.045822058379650116
0.5331,0.0174,0.026516325736045836
0.5334,0.0272,0.034317507898807526
0.5297,0.0085,0.016493569493293763
0.5563,0.0214,0.027342959463596345
